lat_info;lng_info;city_name;state_id;state_name;region_name
42,44124;-71,77297;Sterling;MA;Massachusetts;Northeast
42,1047;-72,07745;Sturbridge;MA;Massachusetts;Northeast
42,17694;-71,60516;Upton;MA;Massachusetts;Northeast
42,05895;-71,63741;Uxbridge;MA;Massachusetts;Northeast
42,05206;-71,8485;Webster;MA;Massachusetts;Northeast
42,05501;-71,93519;Dudley;MA;Massachusetts;Northeast
42,26815;-71,61402;Westborough;MA;Massachusetts;Northeast
42,37034;-71,78502;West Boylston;MA;Massachusetts;Northeast
42,23762;-72,16311;West Brookfield;MA;Massachusetts;Northeast
42,11837;-71,66836;Whitinsville;MA;Massachusetts;Northeast
42,13387;-71,75179;Sutton;MA;Massachusetts;Northeast
42,27219;-71,84946;Worcester;MA;Massachusetts;Northeast
42,23945;-71,87702;Cherry Valley;MA;Massachusetts;Northeast
42,31037;-71,93095;Paxton;MA;Massachusetts;Northeast
42,32195;-71,43796;Framingham;MA;Massachusetts;Northeast
42,52165;-71,42983;Acton;MA;Massachusetts;Northeast
42,48837;-71,51779;Boxborough;MA;Massachusetts;Northeast
42,25726;-71,46867;Ashland;MA;Massachusetts;Northeast
42,4995;-71,27799;Bedford;MA;Massachusetts;Northeast
42,46422;-71,28202;Hanscom Afb;MA;Massachusetts;Northeast
42,43616;-71,60728;Bolton;MA;Massachusetts;Northeast
42,53001;-71,35128;Carlisle;MA;Massachusetts;Northeast
42,46221;-71,36504;Concord;MA;Massachusetts;Northeast
42,29155;-71,50101;Fayville;MA;Massachusetts;Northeast
42,19775;-71,44499;Holliston;MA;Massachusetts;Northeast
42,12477;-71,535;Hopedale;MA;Massachusetts;Northeast
42,2255;-71,53781;Hopkinton;MA;Massachusetts;Northeast
42,38868;-71,54648;Hudson;MA;Massachusetts;Northeast
42,3494;-71,54681;Marlborough;MA;Massachusetts;Northeast
42,4264;-71,45607;Maynard;MA;Massachusetts;Northeast
42,09301;-71,55146;Mendon;MA;Massachusetts;Northeast
42,15723;-71,51978;Milford;MA;Massachusetts;Northeast
42,28436;-71,34966;Natick;MA;Massachusetts;Northeast
42,23416;-71,37532;Sherborn;MA;Massachusetts;Northeast
42,30144;-71,5304;Southborough;MA;Massachusetts;Northeast
42,42572;-71,31013;Lincoln;MA;Massachusetts;Northeast
42,42983;-71,51146;Stow;MA;Massachusetts;Northeast
42,38456;-71,42316;Sudbury;MA;Massachusetts;Northeast
42,3583;-71,35895;Wayland;MA;Massachusetts;Northeast
42,48694;-71,15415;Woburn;MA;Massachusetts;Northeast
42,5028;-71,20147;Burlington;MA;Massachusetts;Northeast
42,64669;-71,16517;Andover;MA;Massachusetts;Northeast
42,54999;-71,25206;Billerica;MA;Massachusetts;Northeast
42,59156;-71,35553;Chelmsford;MA;Massachusetts;Northeast
42,68323;-71,30063;Dracut;MA;Massachusetts;Northeast
42,67643;-71,50052;Dunstable;MA;Massachusetts;Northeast
